price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
250000,"maxi 58"" 4k uhd  smart  led tv",Maxi,MEGATRON NG,66,https://www.jumia.com.ng/maxi-58-4k-uhd-smart-led-tv-79511556.html,0.0,58,uhd,led,no
223000,hisense 50'' smart uhd 4k tv,Hisense,Franco global electronics Ltd.,100,https://www.jumia.com.ng/hisense-50-smart-uhd-4k-tv-bluetooth-netflix-youtube-dstv-now-app-77043289.html,5.0,50,uhd,,no
290000,samsung 40 inch smart full hd ultra slim led tv,Samsung,Smart Center,50,https://www.jumia.com.ng/samsung-40-inch-smart-full-hd-ultra-slim-led-tv-190566262.html,0.0,40,fhd,led,no
178500,mk 50-inch 4k uhd android smart tv,MK,MKworld electronic,98,https://www.jumia.com.ng/mk-50-inch-4k-uhd-android-smart-tv-180918772.html,0.0,50,uhd,,yes
820000,samsung 65 inch uhd slim flat smart 4k led tv,Samsung,Bryan's store,100,https://www.jumia.com.ng/samsung-65-inch-uhd-slim-flat-smart-4k-led-tv-black-43571997.html,5.0,65,uhd,led,no
659900,samsung 55” flat smart 4k uhd tv,Samsung,Multiple Sales,74,https://www.jumia.com.ng/samsung-55-flat-smart-4k-uhd-tv-netflix-youtube-app-wall-mount-77093966.html,0.0,55,uhd,,no
999000,"samsung 65"" class q60r qled smart 4k uhd tv",Samsung,Samsung and Sony online store,66,https://www.jumia.com.ng/samsung-65-class-q60r-qled-smart-4k-uhd-tv-qa65q60r-65373466.html,5.0,65,uhd,qled,no
890000,lg 55'' 4k uhd oled smart ai thinq built in satellite tv,LG,Kendo,80,https://www.jumia.com.ng/lg-55-4k-uhd-oled-smart-ai-thinq-built-in-satellite-tv-78022171.html,0.0,55,uhd,oled,no
144900,amaz 43” inches 4k uhd bluetooth smart tv,Amaz,Video masters ltd,50,https://www.jumia.com.ng/amaz-43-inches-4k-uhd-bluetooth-smart-tv-dual-screen-advantage-109693163.html,0.0,43,uhd,,no
229100,hisense 50''smart uhd 4k tv,Hisense,Samsung and Sony online store,66,https://www.jumia.com.ng/hisense-50smart-uhd-4k-tvnetflixyoutube-bluetooth-67209579.html,0.0,50,uhd,,no
